CompraID,NIF,Marca,Preço_Litro,Quantidade_Litros,Valor_Total,Data,Tipo_Combustivel,Metodo_Pagamento
89,776304272,CEPSA,1.9,58.75,111.62,2025-03-30,gasoleo,Apple Pay
90,100946095,PRIO,2.26,31.76,71.78,2025-03-31,gasoleo,Apple Pay
91,972059916,REPSOL,1.87,22.84,42.71,2025-04-01,gasoleo,MBWay
92,806179232,BP,2.26,37.36,84.43,2025-04-02,gasoleo,Apple Pay
93,947366264,PRIO,2.29,54.47,124.74,2025-04-03,gasoleo,Cartão
94,467346006,CEPSA,2.07,28.03,58.02,2025-04-04,gpl,Dinheiro
95,490841927,CEPSA,1.96,31.3,61.35,2025-04-05,gasolina,Cartão
96,875548014,GALP,2.13,57.3,122.05,2025-04-06,gasolina,MBWay
97,195697310,PRIO,1.97,27.67,54.51,2025-04-07,gasolina,Dinheiro
98,643512012,BP,2.13,32.2,68.59,2025-04-08,gasolina,Dinheiro
99,979293498,GALP,2.28,27.7,63.16,2025-04-09,gasolina,Cartão
100,588689268,GALP,1.87,61.37,114.76,2025-04-10,gasolina,Dinheiro
101,130158606,GALP,2.06,31.68,65.26,2025-04-11,gpl,Dinheiro
102,795812848,BP,1.93,57.15,110.3,2025-04-12,gasoleo,Apple Pay
103,113132122,REPSOL,2.1,56.49,118.63,2025-04-13,gpl,Dinheiro
104,723236191,PRIO,2.19,38.38,84.05,2025-04-14,gpl,Cartão
105,366997371,REPSOL,2.12,28.12,59.61,2025-04-15,gasolina,Apple Pay
106,192547266,GALP,2.04,42.93,87.58,2025-04-16,gasolina,MBWay
107,665748578,REPSOL,2.06,30.65,63.14,2025-04-17,gpl,Dinheiro
108,843478573,GALP,1.86,28.04,52.15,2025-04-18,gasoleo,Dinheiro
109,332074953,REPSOL,2.11,48.19,101.68,2025-04-19,gpl,Cartão
110,743337170,CEPSA,1.93,34.68,66.93,2025-04-20,gasolina,Apple Pay
111,955099704,PRIO,2.26,36.39,82.24,2025-04-21,gpl,Cartão
112,160674788,CEPSA,2.17,26.36,57.2,2025-04-22,gpl,Cartão
113,399149282,CEPSA,2.03,38.43,78.01,2025-04-23,gasolina,Cartão
114,357544430,CEPSA,1.89,64.56,122.02,2025-04-24,gasoleo,Cartão
115,842085841,CEPSA,2.12,55.48,117.62,2025-04-25,gasolina,Cartão
116,690693874,BP,1.95,30.75,59.96,2025-04-26,gasoleo,MBWay
117,884140044,CEPSA,2.11,30.99,65.39,2025-04-27,gpl,MBWay
118,105650241,GALP,2.27,32.33,73.39,2025-04-28,gasolina,Dinheiro
119,122811978,REPSOL,2.09,36.65,76.6,2025-04-29,gpl,Cartão
120,156259682,CEPSA,2.28,41.98,95.71,2025-04-30,gasoleo,Dinheiro
121,869723395,REPSOL,1.95,32.41,63.2,2025-05-01,gpl,Cartão
122,355258745,GALP,1.87,26.79,50.1,2025-05-02,gasoleo,Dinheiro
123,542201451,GALP,1.98,21.45,42.47,2025-05-03,gpl,Apple Pay
124,999239459,REPSOL,2.13,60.67,129.23,2025-05-04,gasolina,Cartão
125,361747455,PRIO,2.16,57.63,124.48,2025-05-05,gasolina,Dinheiro
126,737689429,PRIO,2.08,49.48,102.92,2025-05-06,gasolina,Apple Pay
127,544735314,REPSOL,1.8,51.34,92.41,2025-05-07,gpl,MBWay
128,276959791,REPSOL,2.26,34.39,77.72,2025-05-08,gasoleo,Dinheiro
129,425612347,CEPSA,1.92,53.16,102.07,2025-05-09,gpl,Dinheiro
130,874025106,PRIO,2.08,60.67,126.19,2025-05-10,gasolina,Dinheiro
131,455248788,PRIO,1.82,24.77,45.08,2025-05-11,gpl,Cartão
132,937090303,PRIO,1.88,33.78,63.51,2025-05-12,gasolina,MBWay
133,699281386,BP,1.96,36.13,70.81,2025-05-13,gasolina,Apple Pay
134,745974294,CEPSA,2.14,49.22,105.33,2025-05-14,gpl,MBWay
135,240260534,PRIO,1.99,28.51,56.73,2025-05-15,gasoleo,Cartão
136,401706949,CEPSA,1.94,43.95,85.26,2025-05-16,gasolina,Apple Pay
137,966202942,PRIO,1.84,47.74,87.84,2025-05-17,gpl,MBWay
138,935305860,GALP,1.95,21.2,41.34,2025-05-18,gasoleo,Cartão
139,580645872,REPSOL,2.17,20.83,45.2,2025-05-19,gasolina,Apple Pay
140,739203821,BP,1.97,43.54,85.77,2025-05-20,gasoleo,Dinheiro
141,218998224,PRIO,1.92,46.61,89.49,2025-05-21,gpl,Cartão
142,935192628,REPSOL,2.04,35.89,73.22,2025-05-22,gasoleo,Apple Pay
143,108133835,GALP,1.97,35.58,70.09,2025-05-23,gasolina,Dinheiro
144,801624206,PRIO,2.28,35.34,80.58,2025-05-24,gasoleo,MBWay
145,243635006,CEPSA,1.93,33.74,65.12,2025-05-25,gasoleo,MBWay
146,417121803,CEPSA,2.11,29.04,61.27,2025-05-26,gasoleo,MBWay
147,461844512,CEPSA,2.21,20.65,45.64,2025-05-27,gpl,Dinheiro
148,863772171,REPSOL,2.28,28.42,64.8,2025-05-28,gpl,Dinheiro
149,949675467,CEPSA,2.13,46.52,99.09,2025-05-29,gasolina,Cartão
150,737807516,CEPSA,2.06,50.29,103.6,2025-05-30,gasolina,MBWay
151,583808019,GALP,2.07,53.34,110.41,2025-05-31,gpl,MBWay
152,743859959,BP,2.18,34.43,75.06,2025-06-01,gpl,Dinheiro
153,196614871,CEPSA,1.97,54.88,108.11,2025-06-02,gasolina,MBWay
154,887834468,BP,1.99,64.27,127.9,2025-06-03,gpl,Dinheiro
155,187378310,CEPSA,2.3,62.02,142.65,2025-06-04,gasolina,MBWay
156,176215807,REPSOL,1.99,51.15,101.79,2025-06-05,gasolina,Dinheiro
157,104647091,GALP,1.92,36.84,70.73,2025-06-06,gpl,Apple Pay
158,274127014,CEPSA,2.08,50.63,105.31,2025-06-07,gasolina,Apple Pay
159,843693428,REPSOL,1.87,21.83,40.82,2025-06-08,gpl,MBWay
160,675840036,GALP,2.11,53.14,112.13,2025-06-09,gasolina,Cartão
161,888169704,GALP,2.04,38.42,78.38,2025-06-10,gasoleo,Cartão
162,950432069,CEPSA,2.01,25.46,51.17,2025-06-11,gasolina,Cartão
163,789394914,GALP,2.01,62.37,125.36,2025-06-12,gasolina,MBWay
164,878622246,PRIO,1.91,45.46,86.83,2025-06-13,gasolina,Cartão
165,443870161,GALP,1.89,32.5,61.42,2025-06-14,gasoleo,MBWay
166,161973870,REPSOL,1.93,32.29,62.32,2025-06-15,gasolina,Dinheiro
167,949379459,PRIO,1.84,33.94,62.45,2025-06-16,gasolina,Dinheiro
168,837878800,BP,1.81,52.37,94.79,2025-06-17,gasolina,MBWay
169,584131248,BP,1.98,56.09,111.06,2025-06-18,gasoleo,Cartão
170,745741571,GALP,1.94,52.1,101.07,2025-06-19,gasoleo,Apple Pay
171,961524835,REPSOL,2.18,24.88,54.24,2025-06-20,gasoleo,Apple Pay
172,325232881,PRIO,1.85,23.28,43.07,2025-06-21,gpl,MBWay
173,152769302,PRIO,2.26,29.06,65.68,2025-06-22,gpl,Cartão
174,761204907,BP,2.14,50.81,108.73,2025-06-23,gpl,MBWay
175,990246287,PRIO,1.98,49.78,98.56,2025-06-24,gasoleo,Dinheiro
176,936465916,CEPSA,2.14,21.55,46.12,2025-06-25,gasoleo,MBWay
177,725336166,CEPSA,2.12,37.37,79.22,2025-06-26,gasoleo,Apple Pay
178,473383786,REPSOL,2.16,62.2,134.35,2025-06-27,gpl,Cartão
179,563025731,GALP,1.98,20.93,41.44,2025-06-28,gasoleo,Apple Pay
180,178360868,PRIO,2.11,59.44,125.42,2025-06-29,gasolina,Cartão
181,732453415,REPSOL,2.12,30.07,63.75,2025-06-30,gpl,Apple Pay
182,357590207,BP,2.16,34.91,75.41,2025-07-01,gpl,Dinheiro
183,982700509,CEPSA,2.29,31.17,71.38,2025-07-02,gasolina,MBWay
184,764210326,GALP,1.97,58.92,116.07,2025-07-03,gasoleo,MBWay
185,262807865,CEPSA,1.98,27.34,54.13,2025-07-04,gasolina,Cartão
186,497563317,CEPSA,2.06,45.65,94.04,2025-07-05,gasoleo,Cartão
187,514961225,CEPSA,2.09,50.72,106.0,2025-07-06,gasoleo,Cartão
188,313513715,REPSOL,2.27,31.46,71.41,2025-07-07,gasoleo,Apple Pay
189,961403856,PRIO,1.94,23.87,46.31,2025-07-08,gasolina,Cartão
190,491649314,GALP,2.26,36.97,83.55,2025-07-09,gasolina,Dinheiro
191,445809647,GALP,1.81,22.7,41.09,2025-07-10,gasolina,MBWay
192,198554668,PRIO,1.84,30.01,55.22,2025-07-11,gpl,Dinheiro
193,816892699,BP,2.01,49.69,99.88,2025-07-12,gasoleo,Apple Pay
194,691600442,REPSOL,2.0,40.42,80.84,2025-07-13,gasolina,Cartão
195,264927644,CEPSA,2.01,22.69,45.61,2025-07-14,gasoleo,Apple Pay
196,763982508,REPSOL,2.08,30.3,63.02,2025-07-15,gpl,Dinheiro
197,786726997,PRIO,2.21,20.32,44.91,2025-07-16,gasolina,MBWay
198,641163945,CEPSA,1.94,36.36,70.54,2025-07-17,gasolina,Dinheiro
199,863557588,CEPSA,1.88,22.61,42.51,2025-07-18,gpl,Apple Pay
200,797787277,GALP,1.87,55.17,103.17,2025-07-19,gasoleo,Dinheiro
201,828361509,BP,2.04,35.1,71.6,2025-07-20,gpl,Apple Pay
202,393258552,BP,2.17,40.96,88.88,2025-07-21,gpl,Dinheiro
203,812174020,PRIO,2.08,63.84,132.79,2025-07-22,gasolina,MBWay
204,135994969,CEPSA,2.07,23.11,47.84,2025-07-23,gpl,MBWay
205,227222991,PRIO,2.16,35.79,77.31,2025-07-24,gasolina,Cartão
206,308619838,PRIO,2.08,37.03,77.02,2025-07-25,gasolina,MBWay
207,710841790,BP,1.83,51.71,94.63,2025-07-26,gasolina,Dinheiro
208,836876639,PRIO,2.01,32.07,64.46,2025-07-27,gasolina,Dinheiro
209,969931443,REPSOL,1.94,57.99,112.5,2025-07-28,gasolina,Dinheiro
210,924367887,PRIO,2.27,58.56,132.93,2025-07-29,gasolina,Dinheiro
211,133746751,BP,1.94,55.22,107.13,2025-07-30,gasolina,Apple Pay
212,680814333,GALP,2.16,57.99,125.26,2025-07-31,gasolina,Cartão
213,900983714,BP,1.88,43.15,81.12,2025-08-01,gasolina,Dinheiro
214,232163344,REPSOL,2.06,49.89,102.77,2025-08-02,gasoleo,MBWay
215,464623884,CEPSA,1.99,59.62,118.64,2025-08-03,gpl,MBWay
216,461001290,REPSOL,2.2,36.04,79.29,2025-08-04,gasolina,Apple Pay
217,530640158,BP,1.91,62.24,118.88,2025-08-05,gpl,Apple Pay
218,335274734,CEPSA,1.83,47.18,86.34,2025-08-06,gpl,Dinheiro
219,169005073,PRIO,2.02,52.52,106.09,2025-08-07,gasoleo,MBWay
220,562533894,BP,2.02,61.24,123.7,2025-08-08,gasoleo,Cartão
221,655601933,GALP,2.3,61.59,141.66,2025-08-09,gpl,Dinheiro
222,709667890,PRIO,2.24,45.63,102.21,2025-08-10,gasolina,Dinheiro
223,828525147,PRIO,1.97,46.74,92.08,2025-08-11,gasolina,MBWay
224,757100481,GALP,1.86,32.32,60.12,2025-08-12,gasoleo,MBWay
225,156507715,REPSOL,1.84,49.06,90.27,2025-08-13,gasolina,Apple Pay
226,137511625,REPSOL,1.94,61.46,119.23,2025-08-14,gasolina,Apple Pay
227,132048268,REPSOL,2.19,49.0,107.31,2025-08-15,gasoleo,Cartão
228,143293696,PRIO,2.06,34.29,70.64,2025-08-16,gasolina,Dinheiro
229,978735099,BP,1.88,41.11,77.29,2025-08-17,gpl,Apple Pay
230,295400378,CEPSA,1.91,59.36,113.38,2025-08-18,gasolina,MBWay
231,829516883,CEPSA,1.97,34.34,67.65,2025-08-19,gasoleo,Cartão
232,641682050,REPSOL,2.03,40.61,82.44,2025-08-20,gpl,Cartão
233,785621223,GALP,1.83,60.2,110.17,2025-08-21,gasolina,MBWay
234,203531632,REPSOL,2.25,41.69,93.8,2025-08-22,gpl,Apple Pay
235,866034266,BP,1.98,31.62,62.61,2025-08-23,gpl,Apple Pay
236,451770287,GALP,2.07,45.33,93.83,2025-08-24,gpl,Cartão
237,886245626,BP,2.06,42.86,88.29,2025-08-25,gpl,Dinheiro
238,161160801,GALP,2.16,52.25,112.86,2025-08-26,gasolina,MBWay
239,265373987,CEPSA,2.07,40.91,84.68,2025-08-27,gasolina,Cartão
240,738443547,BP,2.15,30.61,65.81,2025-08-28,gasolina,Cartão
241,626603685,GALP,1.82,36.25,65.98,2025-08-29,gasolina,Dinheiro
242,746167419,CEPSA,2.23,42.8,95.44,2025-08-30,gpl,Apple Pay
243,520423072,CEPSA,1.94,63.4,123.0,2025-08-31,gasoleo,Cartão
244,896920444,BP,2.09,58.12,121.47,2025-09-01,gasolina,Cartão
245,947486963,BP,2.17,22.84,49.56,2025-09-02,gasolina,Cartão
246,374937098,BP,2.3,40.12,92.28,2025-09-03,gasoleo,MBWay
247,329958290,CEPSA,1.82,60.3,109.75,2025-09-04,gasoleo,MBWay
248,102354393,PRIO,2.17,26.12,56.68,2025-09-05,gasoleo,Apple Pay
249,971067174,GALP,1.83,22.97,42.04,2025-09-06,gpl,MBWay
250,550717258,BP,1.99,53.6,106.66,2025-09-07,gasolina,Apple Pay
251,952269408,BP,2.06,49.07,101.08,2025-09-08,gasoleo,Apple Pay
252,592650336,CEPSA,2.26,24.55,55.48,2025-09-09,gasolina,Apple Pay
253,677479787,REPSOL,2.04,43.4,88.54,2025-09-10,gpl,Dinheiro
254,447921287,PRIO,2.03,32.26,65.49,2025-09-11,gpl,Cartão
255,687501090,PRIO,2.14,56.21,120.29,2025-09-12,gpl,Apple Pay
256,723320873,CEPSA,1.97,47.01,92.61,2025-09-13,gasoleo,MBWay
257,148189839,PRIO,1.89,45.22,85.47,2025-09-14,gasolina,MBWay
258,441980997,PRIO,2.06,35.81,73.77,2025-09-15,gpl,Cartão
259,195642830,CEPSA,1.94,28.65,55.58,2025-09-16,gasoleo,MBWay
260,932995842,GALP,2.11,47.1,99.38,2025-09-17,gpl,Cartão
261,910354940,BP,2.26,64.46,145.68,2025-09-18,gasolina,Dinheiro
262,284158562,REPSOL,2.19,29.8,65.26,2025-09-19,gpl,Cartão
263,516355439,REPSOL,1.88,21.33,40.1,2025-09-20,gasolina,MBWay
264,813014175,REPSOL,1.91,45.01,85.97,2025-09-21,gasoleo,Apple Pay
265,314798605,CEPSA,1.85,31.48,58.24,2025-09-22,gpl,Apple Pay
266,853586960,PRIO,2.24,50.96,114.15,2025-09-23,gasolina,Apple Pay
267,321452260,GALP,2.27,49.82,113.09,2025-09-24,gasoleo,MBWay
268,406888554,REPSOL,2.22,53.56,118.9,2025-09-25,gasolina,MBWay
269,819352370,BP,2.05,52.37,107.36,2025-09-26,gpl,Cartão
270,201664022,GALP,1.94,54.99,106.68,2025-09-27,gasoleo,Dinheiro
271,362113266,REPSOL,2.28,61.46,140.13,2025-09-28,gpl,Dinheiro
272,417337666,GALP,1.82,58.02,105.6,2025-09-29,gpl,Dinheiro
273,546941040,CEPSA,2.16,56.3,121.61,2025-09-30,gasoleo,Cartão
274,498607390,BP,2.07,55.4,114.68,2025-10-01,gasoleo,Apple Pay
275,313051467,CEPSA,2.04,32.06,65.4,2025-10-02,gpl,Apple Pay
276,461300895,CEPSA,2.26,47.61,107.6,2025-10-03,gasolina,MBWay
277,939658862,BP,1.96,37.6,73.7,2025-10-04,gasolina,Apple Pay
278,450624916,GALP,1.86,23.22,43.19,2025-10-05,gasoleo,MBWay
279,472373015,REPSOL,1.99,27.86,55.44,2025-10-06,gasoleo,Dinheiro
280,134789853,REPSOL,1.9,33.68,63.99,2025-10-07,gpl,Cartão
281,126988182,CEPSA,2.24,25.52,57.16,2025-10-08,gasoleo,Apple Pay
282,882370696,GALP,2.16,36.84,79.57,2025-10-09,gasolina,Dinheiro
283,940401947,REPSOL,2.16,64.13,138.52,2025-10-10,gpl,MBWay
284,946265729,REPSOL,1.83,56.43,103.27,2025-10-11,gpl,Cartão
285,162668491,CEPSA,2.16,36.0,77.76,2025-10-12,gasoleo,Apple Pay
286,881985600,PRIO,2.29,36.03,82.51,2025-10-13,gasolina,Apple Pay
287,239107771,GALP,2.15,24.07,51.75,2025-10-14,gpl,Dinheiro
288,588913549,REPSOL,2.19,63.6,139.28,2025-10-15,gpl,Apple Pay
289,572668081,CEPSA,2.03,39.36,79.9,2025-10-16,gpl,Apple Pay
290,862033605,PRIO,2.04,22.66,46.23,2025-10-17,gasolina,Apple Pay
291,734143364,CEPSA,2.29,33.35,76.37,2025-10-18,gasoleo,Apple Pay
292,461860925,PRIO,1.85,60.86,112.59,2025-10-19,gpl,Dinheiro
293,300577816,GALP,1.81,51.03,92.36,2025-10-20,gasolina,MBWay
294,861978548,PRIO,2.24,58.28,130.55,2025-10-21,gasoleo,Apple Pay
295,847632129,REPSOL,2.16,25.93,56.01,2025-10-22,gasoleo,Dinheiro
296,582581559,GALP,2.02,53.56,108.19,2025-10-23,gpl,Apple Pay
297,741769082,CEPSA,2.17,35.03,76.02,2025-10-24,gpl,MBWay
298,983521075,CEPSA,1.98,53.16,105.26,2025-10-25,gasoleo,MBWay
299,843398888,PRIO,1.9,31.82,60.46,2025-10-26,gpl,Dinheiro
300,560157057,GALP,2.29,45.21,103.53,2025-10-27,gasolina,Dinheiro
